"_id","Calendar Date","TD of Greatest Eclipse","Eclipse Type","Saros Series","Eclipse Magnitude","Central Duration","Geographic Region of Eclipse Visibility","Location"
"607ade1a3010a708ac56cc95","2022 Oct 25","11:01:19","Partial","124","0.862","-","Europe, ne Africa, Mid East, w Asia",""
"607ade1a3010a708ac56cc96","2023 Apr 20","4:17:55","Hybrid","129","1.013","01m16s","se Asia, E. Indies, Australia, Philippines. N.Z.","[Hybrid: Indonesia, Australia, Papua New Guinea]"
"607ade1a3010a708ac56cc97","2023 Oct 14","18:00:40","Annular","134","0.952","05m17s","N. America, C. America, S. America","[Annular: w US, C. America, Colombia, Brazil]"
"607ade1a3010a708ac56cc98","2024 Apr 08","18:18:29","Total","139","1.057","04m28s","N. America, C. America","[Total: Mexico, c US, e Canada]"
"607ade1a3010a708ac56cc99","2024 Oct 02","18:46:13","Annular","144","0.933","07m25s","Pacific, s S. America","[Annular: s Chile, s Argentina]"
"607ade1a3010a708ac56cc9a","2025 Mar 29","10:48:36","Partial","149","0.938","-","nw Africa, Europe, n Russia",""
"607ade1a3010a708ac56cc9b","2025 Sep 21","19:43:04","Partial","154","0.855","-","s Pacific, N.Z., Antarctica",""
"607ade1a3010a708ac56cc9c","2026 Feb 17","12:13:05","Annular","121","0.963","02m20s","s Argentina & Chile, s Africa, Antarctica","[Annular: Antarctica]"
"607ade1a3010a708ac56cc9d","2026 Aug 12","17:47:05","Total","126","1.039","02m18s","n N. America, w Africa, Europe","[Total: Arctic, Greenland, Iceland, Spain]"
"607ade1a3010a708ac56cc9e","2027 Feb 06","16:00:47","Annular","131","0.928","07m51s","S. America, Antarctica, w & s Africa","[Annular: Chile, Argentina, Atlantic]"
"607ade1a3010a708ac56cc9f","2027 Aug 02","10:07:49","Total","136","1.079","06m23s","Africa, Europe, Mid East, w & s Asia","[Total:Morocco, Spain, Algeria, Libya, Egypt, Saudi Arabia, Yemen, Somalia]"
"607ade1a3010a708ac56cca0","2028 Jan 26","15:08:58","Annular","141","0.921","10m27s","e N. America, C. & S. America, w Europe, nw Africa","[Annular: Ecuador, Peru, Brazil, Suriname, Spain, Portugal]"
"607ade1a3010a708ac56cca1","2028 Jul 22","2:56:39","Total","146","1.056","05m10s","SE Asia, E. Indies, Australia, N.Z.","[Total: Australia, N. Z.]"
"607ade1a3010a708ac56cca2","2029 Jan 14","17:13:47","Partial","151","0.871","-","N. America, C. America",""
"607ade1a3010a708ac56cca3","2029 Jun 12","4:06:13","Partial","118","0.458","-","Arctic, Scandanavia, Alaska, n Asia, n Canada",""
"607ade1a3010a708ac56cca4","2029 Jul 11","15:37:18","Partial","156","0.23","-","s Chile, s Argentina",""
"607ade1a3010a708ac56cca5","2029 Dec 05","15:03:57","Partial","123","0.891","-","s Argentina, s Chile, Antarctica",""
"607ade1a3010a708ac56cca6","2030 Jun 01","6:29:13","Annular","128","0.944","05m21s","Europe, n Africa, Mid East, Asia, Arctic, Alaska","[Annular: Algeria, Tunisia, Greece, Turkey, Russia, n. China, Japan]"
"607ade1a3010a708ac56cca7","2030 Nov 25","6:51:37","Total","133","1.047","03m44s","s Africa, s Indian Oc., E. Indies, Australia, Antarctica","[Total: Botswana, S. Africa, Australia]"
